"","",""
"","",""
"Vloerverwarming/koeling tsa 7 Lobby","Aanvoertemperatuur - 18-314TE01","Windheim_OS18_GRFMET_6"
"Vloerverwarming/koeling tsa 7 Lobby","Ruimtetemperatuur - 18-314TT01","Windheim_OS18_GRFMET_8"
"Vloerverwarming/koeling tsa 7 Lobby","Relatief ruimtevocht - 18-314MT01","Windheim_OS18_GRFMET_9"
"Vloerverwarming/koeling tsa 7 Lobby","Circulatiepomp (status) - Circulatiepomp - 18-314P","Windheim_OS18_GRFSYS_14"
"Vloerverwarming/koeling tsa 7 Lobby","Retourtemperatuur - 18-314TE02","Windheim_OS18_GRFMET_7"
"Vloerverwarming/koeling tsa 7 Lobby","Instalatiedruk sec. - 18-314PT01","Windheim_OS18_GRFMET_1"
"Vloerverwarming/koeling tsa 7 Lobby","Afsluiter status regeling - Afsluiter verwarmen - ","Windheim_OS18_GRFSYS_11"
"Vloerverwarming/koeling tsa 7 Lobby","Afsluiter status regeling - Afsluiter koelen - 18-","Windheim_OS18_GRFSYS_13"
"Vloerverwarming/koeling tsa 7 Lobby","Afsluiter koelen percentage - Afsluiter koelen - 1","Windheim_OS18_GRFSYS_12"
"Vloerverwarming/koeling tsa 7 Lobby","Afsluiter verwarmen percentage - Afsluiter verwarm","Windheim_OS18_GRFSYS_10"
"","",""
"","",""
"Vloerverwarming/koeling tsa 1 spoorzijde","Ber. aanvoertemperatuur bedrijf - Temp.regelw. ver","Windheim_OS14_GRFSYS_3"
"Vloerverwarming/koeling tsa 1 spoorzijde","Ber. aanvoertemperatuur bedrijf - Temp.regelw. koe","Windheim_OS14_GRFSYS_7"
"Vloerverwarming/koeling tsa 1 spoorzijde","Aanvoertemperatuur - 14-411TE01","Windheim_OS14_GRFMET_6"
"Vloerverwarming/koeling tsa 1 spoorzijde","Ruimtetemperatuur - 14-411TT01","Windheim_OS14_GRFMET_8"
"Vloerverwarming/koeling tsa 1 spoorzijde","Relatief ruimtevocht - 14-411MT01","Windheim_OS14_GRFMET_9"
"Vloerverwarming/koeling tsa 1 spoorzijde","Circulatiepomp (status) - Circulatiepomp - 14-411P","Windheim_OS14_GRFSYS_13"
"Vloerverwarming/koeling tsa 1 spoorzijde","Retourtemperatuur - 14-411TE02","Windheim_OS14_GRFMET_7"
"Vloerverwarming/koeling tsa 1 spoorzijde","Instalatiedruk sec. - 14-411PT01","Windheim_OS14_GRFMET_1"
"Vloerverwarming/koeling tsa 1 spoorzijde","Afsluiter status regeling - Afsluiter koelen - 14-","Windheim_OS14_GRFSYS_12"
"Vloerverwarming/koeling tsa 1 spoorzijde","Afsluiter status regeling - Afsluiter verwarmen - ","Windheim_OS14_GRFSYS_10"
"Vloerverwarming/koeling tsa 1 spoorzijde","Afsluiter verwarmen percentage - Afsluiter verwarm","Windheim_OS14_GRFSYS_9"
"Vloerverwarming/koeling tsa 1 spoorzijde","Afsluiter koelen percentage - Afsluiter koelen - 1","Windheim_OS14_GRFSYS_11"
"","",""
"","",""
"LBK 3, X7 en X9","Filter afzuigkanaal - 02-130PDT02","Windheim_OS2_GRFMET_11"
"LBK 3, X7 en X9","Retourluchttemperatuur - 02-130TE03","Windheim_OS2_GRFMET_14"
"LBK 3, X7 en X9","Inblaastemperatuur - 02-130TE02","Windheim_OS2_GRFMET_13"
"LBK 3, X7 en X9","Druk toevoerkanaal - 02-130PT01","Windheim_OS2_GRFMET_7"
